allocationlistsize,time
747,0.243838
134,0.120336
37,0.099547
83,0.122019
74,0.128491
101,0.150452
1674,0.135484
37,0.094498
11,0.08498
35,0.093295
35,0.089308
96,0.089138
9,0.069831
39,0.084679
53,0.089889
46,0.086463
179,0.107663
673,0.091172
63,0.084308
127,0.089297
86,0.07957
13,0.073618
34,0.091482
313,0.098265
21,0.071174
120,0.079069
9,0.073137
110,0.084488
13,0.075702
1,0.065884
43,0.086002
1,0.065383
38,0.0745
4,0.07418
1,0.070864
6,0.07437
17,0.069711
20,0.066715
33,0.074039
22,0.072135
24,0.066685
73,0.075332
1273,0.077375
9,0.066936
6,0.071344
117,0.070392
4,0.065654
23,0.078197
15,0.082625
2,0.065503
19,0.071414
8,0.068739
57,0.06924
21,0.070773
2,0.065664
6,0.068619
3,0.065924
17,0.074429
179,0.080211
27,0.078868
421,0.091241
95,0.083036
185,0.08545
340,0.085009
49,0.078147
202,0.090269
77,0.081984
179,0.080902
254,0.094758
41,0.093055
521,0.115536
338,0.127178
1153,0.155773
782,0.124283
2218,0.238147
5294,0.331362
1419,0.169759
9492,0.507072
1481,0.196619
2402,0.21298
1650,0.22361
3008,0.513745
9307,0.526058
5474,0.574079
11647,0.545484
3386,0.595338
11442,0.571514
4669,0.675969
1541,0.229952
873,0.207429
822,0.214994
979,0.225574
149,0.125525
1975,0.275257
1838,0.329168
4375,0.607712
2001,0.240461
2900,0.616037
1634,0.247595
906,0.219272
393,0.167985
872,0.178575
259,0.12219
425,0.143961
407,0.135384
2135,0.132729
1148,0.13316
1224,0.13837
1310,0.156304
3044,0.454534
3448,0.391595
327,0.112782
1132,0.164068
536,0.109907
1335,0.091472
142,0.081082
4264,0.343225
844,0.085431
136,0.097894
2804,0.324409
426,0.137217
24,0.08011
39,0.083928
168,0.081182
56,0.080942
125,0.092814
240,0.125466
312,0.076072
32,0.075713
747,0.105688
245,0.084108
666,0.09573
55,0.08526
426,0.115447
267,0.105018
411,0.115297
1204,0.113323
64,0.085952
4209,0.471776
8301,0.63896
876,0.156304
2469,0.456327
1549,0.231004
513,0.149802
3937,0.539874
980,0.194706
272,0.111439
633,0.174318
1047,0.185298
836,0.160542
73,0.099847
1159,0.222147
568,0.129864
2031,0.235663
3272,0.549672
5233,0.59104
1006,0.217638
1576,0.267603
2345,0.30322
4294,0.529545
1775,0.257203
1393,0.22323
2792,0.525537
2581,0.454334
510,0.15958
762,0.183184
1115,0.189927
5569,0.563429
921,0.193133
2774,0.517161
190,0.126948
485,0.130906
512,0.163647
375,0.124544
69,0.087384
2186,0.093205
13,0.070493
288,0.102773
17,0.075061
126,0.099257
31,0.077455
445,0.134743
353,0.10102
127,0.1013
909,0.159079
5569,0.315192
26,0.07997
117,0.089628
3896,0.349857
1506,0.120095
389,0.119825
527,0.105859
2992,0.315412
670,0.108544
236,0.101831
48,0.083687
1237,0.185197
279,0.080592
9470,0.374142
88,0.090189
430,0.103695
647,0.08529
212,0.104226
85,0.07991
378,0.0957
51,0.075802
1,0.064982
64,0.078758
2163,0.091411
16,0.075482
23,0.072115
8,0.076885
1,0.065372
92,0.073228
319,0.084679
51,0.085961
11,0.067648
6925,0.317466
132,0.081483
321,0.097493
161,0.087043
240,0.094357
734,0.08525
463,0.126137
431,0.09606
25272,1.02094
2409,0.33543
3250,0.578597
1127,0.18626
1413,0.262814
2105,0.264777
1613,0.232857
287,0.09596
1127,0.223119
611,0.167154
126,0.093425
39,0.07449
1018,0.157135
104,0.096271
231,0.10636
1361,0.203132
5503,0.85741
3128,0.665901
5710,0.710143
2608,0.577083
7418,0.998355
17082,1.44138
1901,0.410421
17511,1.45173
3999,0.688122
4590,0.97996
3112,0.687061
5571,0.746812
3437,0.597633
2470,0.524375
3319,0.548009
2139,0.301186
543,0.176912
986,0.217018
1135,0.206077
9118,0.40498
1510,0.14374
373,0.137518
307,0.117811
2314,0.176551
21282,0.935657
10841,0.618782
11440,1.04764
5576,0.73448
4558,0.731704
3824,0.693322
2570,0.636575
1992,0.402546
722,0.20204
2127,0.330761
1152,0.272793
2386,0.370847
3544,0.69245
1655,0.329248
870,0.226436
1842,0.344828
3319,0.667604
1985,0.370636
1613,0.36234
2184,0.369855
1307,0.249979
2069,0.364214
2601,0.615676
4973,0.869724
7027,0.843864
5787,0.823958
5189,0.844275
4016,0.870865
3399,0.717918
3152,0.717788
3481,0.755559
2875,0.704333
2686,0.64414
2668,0.593916
1898,0.293201
1008,0.256542
815,0.228299
1795,0.373431
1599,0.279354
2059,0.318018
6811,0.797087
19011,1.39806
22563,1.55325
