allocationlistsize,time
656,0.23425
186,0.14339
37,0.094427
170,0.160271
56,0.092243
193,0.167936
2667,0.374534
104,0.115657
22,0.093155
23,0.085511
15,0.087715
31,0.089818
19,0.094056
30,0.093956
17,0.093986
23,0.097874
52,0.094187
1183,0.115778
5,0.080371
21,0.085931
7,0.08542
19,0.082324
8,0.077696
465,0.112191
139,0.115367
4,0.078528
212,0.116849
159,0.103344
32,0.101139
15,0.076354
22,0.089348
55,0.093425
2,0.073898
13,0.081062
9,0.07991
6,0.08534
5,0.076834
4,0.078928
16,0.074179
1,0.07424
47,0.081533
11,0.078848
251,0.091693
1219,0.096682
130,0.085721
14,0.078237
14,0.08524
12,0.083867
7,0.082645
5,0.082194
50,0.084368
9,0.080311
1,0.078197
8,0.080511
23,0.073688
5,0.08546
14,0.078597
1,0.073888
2,0.07459
19,0.09035
47,0.098755
9,0.080181
964,0.123201
462,0.144551
56,0.088837
190,0.129042
173,0.100769
232,0.105989
146,0.110227
159,0.100378
153,0.099737
46,0.095569
1208,0.156724
2401,0.210826
1241,0.181441
469,0.110648
2540,0.410802
8678,0.471385
1424,0.174748
10885,0.703431
1617,0.224732
2717,0.54797
2813,0.523613
3013,0.558799
14425,0.650031
8710,0.696599
17394,0.701748
4034,0.685448
1215,0.22872
5584,0.815651
2648,0.481574
1127,0.233408
735,0.22345
1629,0.311615
112,0.153519
3057,0.579438
1317,0.307858
6547,0.726915
2525,0.49508
4058,0.675479
2301,0.309201
1194,0.261792
379,0.157877
1328,0.185468
318,0.125345
562,0.165961
682,0.14417
1825,0.176211
1799,0.201298
2577,0.442081
2149,0.189767
3393,0.460175
2460,0.460936
488,0.123913
980,0.147307
239,0.113043
3182,0.370957
128,0.080111
3007,0.414999
226,0.096361
531,0.112571
4451,0.405581
1226,0.155712
6,0.075232
52,0.07982
133,0.114495
7,0.08
24,0.091212
194,0.106741
54,0.103234
99,0.101941
667,0.125466
14,0.089909
355,0.114455
40,0.086042
1596,0.144922
194,0.136546
652,0.13315
2490,0.368542
26,0.086242
1798,0.221817
8306,0.703031
1255,0.181511
3237,0.539073
1997,0.25552
469,0.154389
6027,0.64969
1427,0.31978
174,0.142949
628,0.177263
1094,0.216256
671,0.147026
71,0.107662
1696,0.232356
433,0.136206
3163,0.593835
3963,0.640734
7680,0.707619
1500,0.2823
2547,0.553449
2076,0.294252
5718,0.665109
2425,0.277992
2385,0.304732
3787,0.645853
3195,0.573087
554,0.158287
1238,0.210906
1269,0.198833
8426,0.671632
938,0.247445
3512,0.60724
240,0.144311
373,0.150272
430,0.146635
352,0.148149
81,0.0904
161,0.100088
75,0.097964
145,0.111389
9,0.083917
268,0.121529
154,0.098355
280,0.145423
492,0.130295
330,0.112251
1062,0.162646
8524,0.380765
186,0.101661
150,0.113503
6667,0.414358
1316,0.155642
687,0.146736
1400,0.116168
2136,0.127319
1210,0.143389
450,0.105679
781,0.128221
1410,0.227347
374,0.105679
15703,0.421271
97,0.103364
251,0.109195
1154,0.115998
262,0.101089
194,0.109365
123,0.089448
86,0.093075
387,0.301586
676,0.113193
2,0.073839
632,0.106521
2,0.074731
17,0.083016
11,0.078497
30,0.075832
4,0.076845
10,0.073799
5,0.073448
45,0.091172
9281,0.40458
203,0.089367
293,0.111639
259,0.113253
216,0.098816
192,0.096821
516,0.139081
656,0.109727
14726,1.01809
3105,0.573787
4110,0.730873
979,0.174197
1717,0.283612
2235,0.315693
2035,0.276479
303,0.107422
1065,0.23924
549,0.19184
95,0.097123
16,0.080401
2296,0.197281
122,0.102593
176,0.116278
1684,0.220835
7260,1.00045
3565,0.801736
6629,0.842031
3175,0.675779
8496,0.981444
19488,1.656
2210,0.519055
22725,1.74693
5882,0.913856
5000,1.10361
3432,0.804982
6063,0.847732
3719,0.719672
3139,0.553769
4260,0.717137
1931,0.354767
1206,0.214302
1302,0.285897
1044,0.243948
826,0.210054
205,0.173646
150,0.125305
226,0.136948
442,0.16481
14216,1.05702
16622,0.771829
14273,1.21302
7034,0.922202
6074,0.835088
4439,0.794883
3300,0.734409
2729,0.669146
836,0.233057
2530,0.602471
1331,0.320061
2957,0.653988
4548,0.824409
2196,0.392948
1097,0.227247
1806,0.418877
2915,0.736193
2736,0.661332
2296,0.421842
2693,0.726314
1257,0.279515
2343,0.407355
2963,0.692661
6811,0.983647
9800,1.00756
5842,0.913686
5831,0.978087
4277,0.99041
4592,0.928644
4603,0.914488
3642,0.827805
3915,0.843013
3361,0.721605
2787,0.684856
2598,0.604194
1057,0.258506
1002,0.294052
1971,0.423295
1812,0.349015
1843,0.33577
6732,0.854044
24713,1.51483
26308,1.83118
20975,1.79269
17845,1.62075
20249,1.63052
16438,1.45701
19599,1.45186
31924,1.94015
28822,2.08383
33968,1.90003
36433,2.14407
30390,2.05169
29753,2.10067
28493,2.02829
22918,1.9602
26844,2.08703
14298,1.70156
14100,1.6076
17448,1.59548
19000,1.79098
36191,2.24856
20530,1.96105
15216,1.7124
21258,2.02022
12738,1.53865
10907,1.5763
26760,2.12456
13593,1.57557
4743,0.9854
7766,0.979109
13571,1.18985
36478,1.50711
15640,1.08343
8119,0.972746
9973,0.991602
9884,1.16589
6343,0.945165
25983,1.37516
9908,0.833416
9499,0.883298
3192,0.78797
3158,0.660962
872,0.338897
2358,0.407585
1777,0.332875
9049,0.792408
1084,0.290996
2643,0.689946
1307,0.311274
2090,0.348765
4250,0.689445
7440,0.642928
1235,0.26614
4341,0.62787
2116,0.357682
8947,0.956847
12209,0.916171
1142,0.318008
9290,0.811203
5725,0.66597
9218,0.97402
18788,1.0915
6135,0.814329
7881,0.959752
12065,0.982064
6031,0.901634
5338,0.797147
5655,0.815732
10236,1.01114
6028,0.902114
14882,1.24385
11105,1.00364
17800,1.39448
13364,1.0985
12392,1.03767
5976,0.920379
19574,1.28294
11443,1.12221
5542,0.886795
12824,0.913355
8912,1.02005
13530,1.12419
5100,0.861178
7425,0.818146
5640,0.74544
6398,0.893579
8285,0.789082
6709,0.642096
1222,0.299332
3884,0.630594
3343,0.688883
1741,0.23448
1742,0.206428
2311,0.235943
896,0.232577
560,0.152376
18929,0.537309
2640,0.556996
7187,0.504908
4904,0.609174
5291,0.502233
5353,0.502804
11245,0.63887
11692,0.568889
1941,0.310433
5651,0.496262
1105,0.268184
1977,0.232677
6947,0.550805
2191,0.372239
4354,0.764315
6444,0.82522
5387,0.813227
4654,0.823847
4264,0.754066
28745,1.59424
13722,1.22129
24865,1.43953
11637,1.14758
6468,0.952048
6111,0.90009
4526,0.848143
3386,0.781338
6914,0.962658
9077,1.18503
8140,1.05064
3636,0.778713
19167,0.898518
7365,0.993105
7241,1.14288
3440,0.864463
14701,1.15069
13637,1.18298
9532,1.1355
11759,1.22988
22154,1.50097
9771,1.24856
19624,1.55118
18713,1.51128
24473,1.78214
13379,1.23495
6929,1.11594
15525,1.48371
13961,1.28481
3582,0.877037
4456,0.954843
9107,1.15135
8675,1.22422
2993,0.853293
6289,1.07554
4372,0.85153
2696,0.714402
7925,0.946127
9794,1.13221
4829,0.929165
4798,0.601359
7932,0.9481
2547,0.698442
1365,0.392377
703,0.260099
1934,0.371067
2842,0.684215
1856,0.356089
6892,0.739368
31502,1.05316
6946,0.836941
11530,1.02536
12163,1.02063
26033,1.31546
10002,0.771719
5260,0.822685
53690,1.53418
3490,0.800413
5281,0.903427
7999,0.85705
4369,0.781297
3059,0.787949
2551,0.682732
4812,0.730111
10852,0.930217
8440,1.07123
13976,1.07645
6404,0.928423
1331,0.313489
