numunique,time
50,0.183865
14,0.17074
9,0.171622
15,0.173065
18,0.175179
23,0.174788
19,0.174738
7,0.177223
12,0.180068
6,0.17556
5,0.17559
8,0.175589
9,0.185318
7,0.178204
9,0.173867
8,0.175209
16,0.174748
9,0.174278
7,0.181992
9,0.174788
5,0.174989
13,0.179617
9,0.1758
9,0.174277
21,0.181431
6,0.176312
9,0.179597
7,0.174859
13,0.18143
1,0.179567
8,0.174508
1,0.179627
4,0.179297
4,0.178625
1,0.180218
6,0.178545
17,0.179346
20,0.179177
4,0.174928
22,0.179557
24,0.180338
4,0.174418
5,0.174217
9,0.178775
6,0.184917
3,0.177273
4,0.178636
23,0.177934
15,0.188053
2,0.179016
19,0.186481
8,0.178064
2,0.174678
21,0.181501
2,0.18063
6,0.184516
3,0.178536
17,0.180699
7,0.1754
6,0.178986
11,0.181361
8,0.184166
9,0.18103
9,0.177183
6,0.174958
10,0.181971
7,0.175379
7,0.179537
12,0.176031
10,0.175459
18,0.176531
22,0.176231
32,0.181541
22,0.17593
30,0.236434
25,0.182683
40,0.178485
94,0.177503
48,0.183164
56,0.17535
58,0.175138
93,0.177774
98,0.173876
116,0.177313
103,0.177423
129,0.174869
122,0.175069
166,0.179477
63,0.175019
55,0.186179
57,0.183755
61,0.174658
23,0.175229
82,0.173886
104,0.180789
135,0.175469
70,0.180749
142,0.175399
72,0.18069
59,0.174027
41,0.174498
43,0.176421
22,0.176431
31,0.181832
26,0.181761
26,0.181361
26,0.176442
29,0.174999
35,0.275989
35,0.17572
47,0.176481
19,0.179136
38,0.173787
18,0.174688
10,0.176431
7,0.176311
28,0.180969
7,0.17595
13,0.174768
23,0.18605
27,0.179948
24,0.182413
7,0.173425
6,0.175349
7,0.174948
11,0.174348
23,0.17604
5,0.180519
5,0.175039
16,0.176121
8,0.17591
12,0.173806
8,0.176842
19,0.177233
15,0.174628
18,0.180729
19,0.176281
8,0.174167
81,0.180399
149,0.177633
37,0.176351
77,0.176301
66,0.181371
34,0.173897
103,0.175069
50,0.176932
18,0.17603
42,0.175299
47,0.176381
37,0.174437
13,0.176482
61,0.175109
27,0.180569
69,0.176942
111,0.181521
130,0.182162
60,0.176131
80,0.177152
91,0.176812
103,0.180479
75,0.179658
61,0.177994
103,0.174287
74,0.1814
37,0.176722
47,0.181932
50,0.17533
116,0.17579
48,0.173946
99,0.177042
24,0.173897
26,0.174438
39,0.179717
23,0.17583
9,0.176562
11,0.17537
13,0.181201
15,0.174046
17,0.182914
13,0.185037
6,0.181581
28,0.176751
16,0.182092
14,0.17594
38,0.175299
19,0.175239
18,0.18153
10,0.180639
32,0.173696
21,0.175319
23,0.175018
17,0.174127
19,0.177374
18,0.176862
15,0.178425
7,0.174067
47,0.174587
7,0.175249
40,0.176
10,0.174838
16,0.174157
8,0.174437
16,0.175309
6,0.174567
12,0.174067
5,0.174537
1,0.184817
6,0.179988
11,0.174738
16,0.179607
23,0.180289
8,0.185548
1,0.186891
4,0.173806
8,0.174618
8,0.174077
10,0.179877
