numunique,time
48,0.190407
21,0.101511
7,0.052679
27,0.116769
6,0.049563
29,0.123762
18,0.088647
11,0.06939
22,0.080882
23,0.079239
15,0.0638
6,0.046638
19,0.073869
7,0.05341
16,0.068379
22,0.081623
7,0.049463
12,0.06954
5,0.041648
21,0.076413
7,0.049032
20,0.072957
8,0.046878
10,0.066586
13,0.067617
4,0.039825
13,0.069971
9,0.057768
8,0.055625
15,0.059181
22,0.078728
6,0.048922
2,0.033183
13,0.05852
9,0.050144
6,0.046287
5,0.041308
4,0.040416
16,0.061395
1,0.032802
3,0.03721
11,0.05314
5,0.046237
7,0.050635
4,0.042139
14,0.05882
14,0.061035
12,0.056827
7,0.051787
5,0.043953
4,0.040766
9,0.049944
3,0.036598
8,0.047809
4,0.044423
14,0.058299
1,0.035998
2,0.033222
19,0.072366
8,0.053991
9,0.050335
14,0.076003
23,0.095529
6,0.046117
18,0.083237
9,0.056416
10,0.066355
12,0.064331
9,0.055915
9,0.059011
8,0.050946
24,0.109876
40,0.153619
33,0.130645
12,0.06923
33,0.125285
49,0.174769
32,0.125917
90,0.396093
46,0.173366
72,0.254147
66,0.231564
74,0.26073
101,0.343345
118,0.381746
114,0.38853
113,0.375645
47,0.176692
152,0.504898
54,0.192171
49,0.181842
46,0.172133
71,0.251622
25,0.109856
83,0.277081
69,0.2502
127,0.413767
58,0.205686
110,0.362781
70,0.247826
60,0.210135
26,0.111329
36,0.136086
17,0.081363
30,0.119263
23,0.096641
32,0.127019
41,0.151143
42,0.156453
37,0.13843
47,0.169838
46,0.172864
16,0.078978
22,0.092433
13,0.06902
18,0.086883
3,0.037781
32,0.124875
8,0.05324
13,0.068639
25,0.107652
25,0.106971
6,0.04253
3,0.037871
12,0.070251
7,0.045535
23,0.081353
11,0.062758
10,0.060403
10,0.057488
17,0.078397
17,0.06943
14,0.06932
5,0.043692
20,0.092935
19,0.090961
20,0.086984
20,0.091071
5,0.043291
42,0.164519
114,0.391485
36,0.241243
69,0.24001
57,0.201719
25,0.107381
102,0.343665
43,0.163226
19,0.196439
31,0.12258
46,0.170691
23,0.099737
12,0.065082
48,0.172514
18,0.089348
90,0.296476
99,0.33034
121,0.393128
66,0.227707
77,0.259126
65,0.233959
107,0.355898
63,0.220444
71,0.245562
98,0.337343
81,0.280306
26,0.107753
42,0.158237
40,0.148238
111,0.359686
53,0.1919
93,0.301876
22,0.098575
25,0.104507
23,0.100719
22,0.101651
6,0.047439
8,0.060975
9,0.054622
12,0.067576
9,0.051817
15,0.076764
9,0.055715
23,0.099958
19,0.08504
13,0.067797
27,0.11212
19,0.08544
10,0.057879
14,0.071715
33,0.130425
25,0.105137
24,0.099256
14,0.070783
17,0.077575
22,0.09585
10,0.05903
18,0.08547
46,0.169668
11,0.062487
31,0.126478
10,0.060224
12,0.064931
12,0.066715
9,0.057368
13,0.065843
6,0.046507
8,0.050785
16,0.076884
14,0.068439
2,0.034825
12,0.063049
3,0.036298
17,0.066705
11,0.05324
2,0.034545
4,0.039584
11,0.053962
5,0.039454
6,0.047819
30,0.114625
6,0.046627
12,0.067817
13,0.068739
9,0.057277
8,0.053821
21,0.096401
12,0.065763
212,0.681519
86,0.291096
127,0.416422
30,0.1225
64,0.226726
75,0.26064
64,0.215715
12,0.066625
52,0.187181
36,0.138059
8,0.055143
16,0.064371
37,0.145353
10,0.05865
14,0.072366
49,0.168316
208,0.666461
150,0.48439
162,0.518654
116,0.388749
203,0.646384
421,1.28236
140,0.455565
443,1.36747
185,0.586381
246,0.776127
153,0.487345
166,0.535465
126,0.413767
82,0.27169
118,0.380444
87,0.286538
43,0.163426
66,0.22878
49,0.181621
42,0.165851
32,0.128121
18,0.086101
19,0.087024
29,0.118613
189,0.737875
144,0.457559
283,0.866377
195,0.608122
164,0.519996
149,0.473629
136,0.431289
110,0.365487
53,0.191119
92,0.3037
76,0.258636
106,0.350879
157,0.503004
100,0.333677
51,0.181601
103,0.340319
133,0.434255
112,0.371387
111,0.36199
127,0.412865
65,0.22358
103,0.339447
118,0.380224
217,0.677823
217,0.678013
192,0.608132
201,0.625204
209,0.669988
199,0.630033
184,0.582454
166,0.52212
164,0.522451
123,0.406663
119,0.386335
94,0.31462
66,0.225824
75,0.251041
115,0.379512
91,0.301286
78,0.265849
189,0.591761
412,1.24192
502,1.50443
496,1.49879
418,1.25661
440,1.32982
401,1.21085
414,1.24463
521,1.57814
576,1.72543
555,1.64897
593,1.76835
584,1.74294
573,1.72977
562,1.71093
573,1.72801
601,1.80258
473,1.44521
462,1.39441
443,1.32908
508,1.54609
657,1.9637
558,1.69281
500,1.49732
516,1.73306
422,1.22293
432,1.25985
626,1.80319
425,1.23798
218,0.667023
233,0.692701
299,0.880824
412,1.19412
274,0.803699
209,0.630294
242,0.717407
289,0.865134
207,0.618912
379,1.08898
167,0.508334
194,0.579017
165,0.51134
117,0.371778
89,0.294453
107,0.333947
86,0.280357
172,0.525187
73,0.242135
131,0.413025
75,0.249759
89,0.289624
133,0.412715
113,0.354937
64,0.210295
106,0.345669
90,0.292319
212,0.645813
199,0.603553
83,0.265619
173,0.535966
127,0.387558
219,0.667914
264,0.801916
170,0.520949
222,0.672132
227,0.682311
